== verify-batch 703385 on xgpd5 23:06:32  matrix: /home/c/cyuhsin/verify_batch_matrix_if2_20260729_180113_g3.txt
SOCLAAS: primary tier enabled by default (qwen3.6:35b)
SOCLAAS: compute-node gateway probe HTTP 200 (200 = reachable from this node)
== slot 0_livingroom_4_inst: scene=livingroom_4 qdir=inst scene_dir=/home/c/cyuhsin/scenes/livingroom_4 question: Go near the chair closest to the bookcase and stop at the table with the flowers on it.
SCENE: overlaid /home/c/cyuhsin/scenes/livingroom_4/livingroom_4 -> /home/c/cyuhsin/.udocker/containers/64af1b4a-7bad-3be3-984b-bdccca76ee40/ROOT/home/docker/autonomy_stack_mecanum_wheel_platform/src/base_autonomy/vehicle_simulator/mesh/unity
UNITY: alive
stack launched; settling 45s
ENDPOINT: :10000 up
OLLAMA: up on 11434
ADAPTER: alive
[INFO] [1785337654.590553102] [vla_ai_module]: VLA_DETECTOR=grounding_dino: constructing the GroundingDINO detector seam (torch import is lazy; real inference lands in Phase 2).
[INFO] [1785337654.584517456] [vla_ai_module]: LLM ladder configured: 2 provider tier(s): api, local (regex floor always last).
BAG: recording -> /home/c/cyuhsin/verify_batch_703385_captures/0_livingroom_4_inst/livingroom_4/inst/bag
question publishing; monitor up (deadline 780s)
t=20s scan=2.35Hz cam_raw=0.00Hz cam_comp=2.15Hz odom=200Hz waypoints=0 pose=(0.0, 0.0)
WAYPOINT #1: (0.50, 0.00)
WAYPOINT #2: (0.50, 0.00)
WAYPOINT #3: (0.50, 0.00)
WAYPOINT #4: (0.50, 0.00)
WAYPOINT #5: (0.50, 0.00)
WAYPOINT #6: (0.00, 0.50)
WAYPOINT #7: (0.00, 0.50)
WAYPOINT #8: (0.00, 0.50)
WAYPOINT #9: (0.00, 0.50)
WAYPOINT #10: (0.00, 0.50)
WAYPOINT #11: (0.00, 0.50)
WAYPOINT #12: (0.00, 0.50)
WAYPOINT #13: (0.00, 0.50)
WAYPOINT #14: (0.00, 0.50)
WAYPOINT #15: (0.00, 0.50)
WAYPOINT #16: (0.00, 0.50)
WAYPOINT #17: (0.00, 0.50)
WAYPOINT #18: (0.00, 0.50)
WAYPOINT #19: (0.00, 0.50)
WAYPOINT #20: (0.00, 0.50)
WAYPOINT #21: (0.00, 0.50)
WAYPOINT #22: (0.00, 0.50)
WAYPOINT #23: (0.00, 0.50)
WAYPOINT #24: (0.00, 0.50)
WAYPOINT #25: (0.00, 0.50)
WAYPOINT #26: (0.00, 0.50)
WAYPOINT #27: (0.00, 0.50)
WAYPOINT #28: (0.00, 0.50)
WAYPOINT #29: (0.00, 0.50)
WAYPOINT #30: (0.00, 0.50)
WAYPOINT #31: (0.00, 0.50)
WAYPOINT #32: (0.00, 0.50)
WAYPOINT #33: (0.00, 0.50)
WAYPOINT #34: (0.00, 0.50)
WAYPOINT #35: (0.00, 0.50)
WAYPOINT #36: (0.00, 0.50)
WAYPOINT #37: (0.00, 0.50)
WAYPOINT #38: (0.00, 0.50)
WAYPOINT #39: (0.00, 0.50)
WAYPOINT #40: (0.00, 0.50)
WAYPOINT #41: (0.00, 0.50)
WAYPOINT #42: (0.00, 0.50)
WAYPOINT #43: (0.00, 0.50)
WAYPOINT #44: (0.00, 0.50)
WAYPOINT #45: (0.00, 0.50)
WAYPOINT #46: (0.00, 0.50)
WAYPOINT #47: (0.00, 0.50)
WAYPOINT #48: (0.00, 0.50)
WAYPOINT #49: (0.00, 0.50)
WAYPOINT #50: (0.00, 0.50)
WAYPOINT #51: (0.00, 0.50)
WAYPOINT #52: (0.00, 0.50)
WAYPOINT #53: (0.00, 0.50)
WAYPOINT #54: (0.00, 0.50)
WAYPOINT #55: (0.00, 0.50)
WAYPOINT #56: (0.00, 0.50)
WAYPOINT #57: (0.00, 0.50)
WAYPOINT #58: (0.00, 0.50)
WAYPOINT #59: (0.00, 0.50)
WAYPOINT #60: (0.00, 0.50)
WAYPOINT #61: (0.00, 0.50)
WAYPOINT #62: (0.00, 0.50)
WAYPOINT #63: (0.00, 0.50)
WAYPOINT #64: (0.00, 0.50)
WAYPOINT #65: (0.00, 0.50)
WAYPOINT #66: (0.00, 0.50)
WAYPOINT #67: (-0.50, 0.00)
WAYPOINT #68: (-0.50, 0.00)
WAYPOINT #69: (-0.50, 0.00)
WAYPOINT #70: (-0.50, 0.00)
WAYPOINT #71: (-0.50, 0.00)
WAYPOINT #72: (-0.50, 0.00)
WAYPOINT #73: (-0.50, 0.00)
WAYPOINT #74: (-0.50, 0.00)
WAYPOINT #75: (-0.50, 0.00)
WAYPOINT #76: (-0.50, 0.00)
WAYPOINT #77: (-0.50, 0.00)
WAYPOINT #78: (-0.50, 0.00)
WAYPOINT #79: (-0.50, 0.00)
WAYPOINT #80: (-0.50, 0.00)
WAYPOINT #81: (-0.50, 0.00)
WAYPOINT #82: (-0.50, 0.00)
WAYPOINT #83: (-0.50, 0.00)
WAYPOINT #84: (-0.50, 0.00)
WAYPOINT #85: (-0.50, 0.00)
WAYPOINT #86: (-0.50, 0.00)
WAYPOINT #87: (-1.25, 0.05)
WAYPOINT #88: (-1.25, 0.05)
t=40s scan=2.35Hz cam_raw=0.00Hz cam_comp=2.12Hz odom=200Hz waypoints=88 pose=(0.06571678072214127, 0.18058305978775024)
WAYPOINT #89: (-1.25, 0.05)
WAYPOINT #90: (-1.25, 0.05)
WAYPOINT #91: (-1.25, 0.05)
WAYPOINT #92: (-1.25, 0.05)
WAYPOINT #93: (-1.25, 0.05)
WAYPOINT #94: (-1.25, 0.05)
WAYPOINT #95: (-1.25, 0.05)
WAYPOINT #96: (-1.25, 0.05)
WAYPOINT #97: (-1.25, 0.05)
WAYPOINT #98: (-1.25, 0.05)
WAYPOINT #99: (-1.25, 0.05)
WAYPOINT #100: (-1.25, 0.05)
WAYPOINT #101: (-1.25, 0.05)
WAYPOINT #102: (-1.25, 0.05)
WAYPOINT #103: (-1.25, 0.05)
WAYPOINT #104: (-1.25, 0.05)
WAYPOINT #105: (-1.25, 0.05)
WAYPOINT #106: (-1.25, 0.05)
WAYPOINT #107: (-1.25, 0.05)
WAYPOINT #108: (-1.25, 0.05)
WAYPOINT #109: (-1.25, 0.05)
WAYPOINT #110: (-1.25, 0.05)
WAYPOINT #111: (-1.25, 0.05)
WAYPOINT #112: (-1.25, 0.05)
WAYPOINT #113: (-1.25, 0.05)
WAYPOINT #114: (-1.25, 0.05)
WAYPOINT #115: (-1.25, 0.05)
WAYPOINT #116: (-1.25, 0.05)
WAYPOINT #117: (-1.25, 0.05)
WAYPOINT #118: (-1.25, 0.05)
WAYPOINT #119: (-1.25, 0.05)
WAYPOINT #120: (-1.25, 0.05)
WAYPOINT #121: (-1.25, 0.05)
WAYPOINT #122: (-1.25, 0.05)
WAYPOINT #123: (-1.25, 0.05)
WAYPOINT #124: (-1.25, 0.05)
WAYPOINT #125: (-1.25, 0.05)
WAYPOINT #126: (-1.25, 0.05)
WAYPOINT #127: (-1.25, 0.05)
WAYPOINT #128: (-1.25, 0.05)
WAYPOINT #129: (-1.25, 0.05)
WAYPOINT #130: (-1.25, 0.05)
WAYPOINT #131: (-1.25, 0.05)
WAYPOINT #132: (-1.25, 0.05)
WAYPOINT #133: (-1.25, 0.05)
WAYPOINT #134: (-1.25, 0.05)
WAYPOINT #135: (-1.25, 0.05)
WAYPOINT #136: (-1.25, 0.05)
WAYPOINT #137: (-1.25, 0.05)
WAYPOINT #138: (-1.25, 0.05)
WAYPOINT #139: (-1.25, 0.05)
WAYPOINT #140: (-1.25, 0.05)
WAYPOINT #141: (-1.25, 0.05)
WAYPOINT #142: (-1.25, 0.05)
WAYPOINT #143: (-1.25, 0.05)
WAYPOINT #144: (-1.25, 0.05)
WAYPOINT #145: (-1.25, 0.05)
WAYPOINT #146: (-1.25, 0.05)
WAYPOINT #147: (-1.25, 0.05)
WAYPOINT #148: (-1.25, 0.05)
WAYPOINT #149: (-1.25, 0.05)
WAYPOINT #150: (-1.25, 0.05)
WAYPOINT #151: (-1.25, 0.05)
WAYPOINT #152: (-1.25, 0.05)
WAYPOINT #153: (-1.25, 0.05)
WAYPOINT #154: (-1.25, 0.05)
WAYPOINT #155: (-1.25, 0.05)
WAYPOINT #156: (-1.25, 0.05)
WAYPOINT #157: (-1.25, 0.05)
WAYPOINT #158: (-1.25, 0.05)
WAYPOINT #159: (-1.25, 0.05)
WAYPOINT #160: (-1.25, 0.05)
WAYPOINT #161: (-1.25, 0.05)
WAYPOINT #162: (-1.25, 0.05)
WAYPOINT #163: (-1.25, 0.05)
WAYPOINT #164: (-1.25, 0.05)
WAYPOINT #165: (-1.25, 0.05)
WAYPOINT #166: (-1.25, 0.05)
WAYPOINT #167: (-1.25, 0.05)
WAYPOINT #168: (-1.25, 0.05)
WAYPOINT #169: (-1.25, 0.05)
WAYPOINT #170: (-1.25, 0.05)
t=60s scan=2.40Hz cam_raw=0.00Hz cam_comp=2.23Hz odom=200Hz waypoints=170 pose=(-1.0425001382827759, -0.22367778420448303)
WAYPOINT #171: (-1.25, 0.05)
WAYPOINT #172: (-1.25, 0.05)
WAYPOINT #173: (-1.25, 0.05)
WAYPOINT #174: (-1.25, 0.05)
WAYPOINT #175: (-1.25, 0.05)
WAYPOINT #176: (-1.25, 0.05)
WAYPOINT #177: (-1.25, 0.05)
WAYPOINT #178: (-1.25, 0.05)
WAYPOINT #179: (-1.25, 0.05)
WAYPOINT #180: (-1.25, 0.05)
WAYPOINT #181: (-1.25, 0.05)
WAYPOINT #182: (-1.25, 0.05)
WAYPOINT #183: (-1.25, 0.05)
WAYPOINT #184: (-1.25, 0.05)
WAYPOINT #185: (-1.25, 0.05)
WAYPOINT #186: (-1.25, 0.05)
WAYPOINT #187: (-1.25, 0.05)
WAYPOINT #188: (-1.25, 0.05)
WAYPOINT #189: (-1.25, 0.05)
WAYPOINT #190: (-1.25, 0.05)
WAYPOINT #191: (-1.25, 0.05)
WAYPOINT #192: (-1.25, 0.05)
WAYPOINT #193: (-1.25, 0.05)
WAYPOINT #194: (-1.25, 0.05)
WAYPOINT #195: (-1.25, 0.05)
WAYPOINT #196: (-1.25, 0.05)
WAYPOINT #197: (-1.25, 0.05)
WAYPOINT #198: (-1.25, 0.05)
WAYPOINT #199: (-1.25, 0.05)
WAYPOINT #200: (-1.25, 0.05)
WAYPOINT #201: (-1.25, 0.05)
WAYPOINT #202: (-1.25, 0.05)
WAYPOINT #203: (-1.25, 0.05)
WAYPOINT #204: (-1.25, 0.05)
WAYPOINT #205: (-1.25, 0.05)
WAYPOINT #206: (-1.25, 0.05)
WAYPOINT #207: (-1.25, 0.05)
WAYPOINT #208: (-1.25, 0.05)
WAYPOINT #209: (-1.25, 0.05)
WAYPOINT #210: (-1.25, 0.05)
WAYPOINT #211: (-1.25, 0.05)
WAYPOINT #212: (-1.25, 0.05)
WAYPOINT #213: (-1.25, 0.05)
WAYPOINT #214: (-1.25, 0.05)
WAYPOINT #215: (-1.25, 0.05)
WAYPOINT #216: (-1.25, 0.05)
WAYPOINT #217: (-1.25, 0.05)
WAYPOINT #218: (-1.25, 0.05)
WAYPOINT #219: (-1.25, 0.05)
WAYPOINT #220: (-1.25, 0.05)
WAYPOINT #221: (-1.25, 0.05)
WAYPOINT #222: (-1.25, 0.05)
WAYPOINT #223: (-1.25, 0.05)
WAYPOINT #224: (-1.25, 0.05)
WAYPOINT #225: (-1.25, 0.05)
WAYPOINT #226: (-1.25, 0.05)
WAYPOINT #227: (-1.25, 0.05)
WAYPOINT #228: (-1.25, 0.05)
WAYPOINT #229: (-1.25, 0.05)
WAYPOINT #230: (-1.25, 0.05)
WAYPOINT #231: (-1.25, 0.05)
WAYPOINT #232: (-1.25, 0.05)
WAYPOINT #233: (-1.25, 0.05)
WAYPOINT #234: (-1.25, 0.05)
t=80s scan=2.44Hz cam_raw=0.00Hz cam_comp=2.25Hz odom=200Hz waypoints=234 pose=(-1.0425001382827759, -0.22367778420448303)
WAYPOINT #235: (-1.25, 0.05)
WAYPOINT #236: (-1.25, 0.05)
WAYPOINT #237: (-1.25, 0.05)
WAYPOINT #238: (-1.25, 0.05)
WAYPOINT #239: (-1.25, 0.05)
WAYPOINT #240: (-1.25, 0.05)
WAYPOINT #241: (-1.25, 0.05)
WAYPOINT #242: (-1.25, 0.05)
WAYPOINT #243: (-1.25, 0.05)
WAYPOINT #244: (-1.25, 0.05)
WAYPOINT #245: (-1.25, 0.05)
WAYPOINT #246: (-1.25, 0.05)
WAYPOINT #247: (-1.25, 0.05)
WAYPOINT #248: (-1.25, 0.05)
WAYPOINT #249: (-1.25, 0.05)
WAYPOINT #250: (-1.25, 0.05)
WAYPOINT #251: (-1.25, 0.05)
WAYPOINT #252: (-1.25, 0.05)
WAYPOINT #253: (-1.25, 0.05)
WAYPOINT #254: (-1.25, 0.05)
WAYPOINT #255: (-1.25, 0.05)
WAYPOINT #256: (-1.25, 0.05)
WAYPOINT #257: (-1.25, 0.05)
WAYPOINT #258: (-1.25, 0.05)
WAYPOINT #259: (-1.25, 0.05)
WAYPOINT #260: (-1.25, 0.05)
WAYPOINT #261: (-1.25, 0.05)
WAYPOINT #262: (-1.25, 0.05)
WAYPOINT #263: (-1.25, 0.05)
WAYPOINT #264: (-1.25, 0.05)
WAYPOINT #265: (-1.25, 0.05)
WAYPOINT #266: (-1.25, 0.05)
WAYPOINT #267: (-1.25, 0.05)
WAYPOINT #268: (-1.25, 0.05)
WAYPOINT #269: (-1.25, 0.05)
WAYPOINT #270: (-1.25, 0.05)
WAYPOINT #271: (-1.25, 0.05)
WAYPOINT #272: (-1.25, 0.05)
WAYPOINT #273: (-1.25, 0.05)
WAYPOINT #274: (-1.25, 0.05)
WAYPOINT #275: (-1.25, 0.05)
WAYPOINT #276: (-1.25, 0.05)
WAYPOINT #277: (-1.25, 0.05)
WAYPOINT #278: (-1.25, 0.05)
WAYPOINT #279: (-1.25, 0.05)
WAYPOINT #280: (-1.25, 0.05)
WAYPOINT #281: (-1.25, 0.05)
WAYPOINT #282: (-1.25, 0.05)
WAYPOINT #283: (-1.25, 0.05)
WAYPOINT #284: (-1.25, 0.05)
WAYPOINT #285: (-1.25, 0.05)
WAYPOINT #286: (-1.25, 0.05)
WAYPOINT #287: (-1.25, 0.05)
WAYPOINT #288: (-1.25, 0.05)
WAYPOINT #289: (-1.25, 0.05)
WAYPOINT #290: (-1.25, 0.05)
WAYPOINT #291: (-1.25, 0.05)
WAYPOINT #292: (-1.25, 0.05)
WAYPOINT #293: (-1.25, 0.05)
WAYPOINT #294: (-1.25, 0.05)
WAYPOINT #295: (-1.25, 0.05)
WAYPOINT #296: (-1.25, 0.05)
WAYPOINT #297: (-1.25, 0.05)
WAYPOINT #298: (-1.25, 0.05)
WAYPOINT #299: (-1.25, 0.05)
WAYPOINT #300: (-1.25, 0.05)
WAYPOINT #301: (-1.25, 0.05)
WAYPOINT #302: (-1.25, 0.05)
WAYPOINT #303: (-1.25, 0.05)
WAYPOINT #304: (-1.25, 0.05)
WAYPOINT #305: (-1.25, 0.05)
t=100s scan=2.43Hz cam_raw=0.00Hz cam_comp=2.20Hz odom=200Hz waypoints=305 pose=(-1.0425001382827759, -0.22367778420448303)
WAYPOINT #306: (-1.25, 0.05)
WAYPOINT #307: (-1.25, 0.05)
WAYPOINT #308: (-1.25, 0.05)
WAYPOINT #309: (-1.25, 0.05)
WAYPOINT #310: (-1.25, 0.05)
WAYPOINT #311: (-1.25, 0.05)
WAYPOINT #312: (-1.25, 0.05)
WAYPOINT #313: (-1.25, 0.05)
WAYPOINT #314: (-1.25, 0.05)
WAYPOINT #315: (-1.25, 0.05)
WAYPOINT #316: (-1.25, 0.05)
WAYPOINT #317: (-1.25, 0.05)
WAYPOINT #318: (-1.25, 0.05)
WAYPOINT #319: (-1.25, 0.05)
WAYPOINT #320: (-1.25, 0.05)
WAYPOINT #321: (-1.25, 0.05)
WAYPOINT #322: (-1.25, 0.05)
WAYPOINT #323: (-1.25, 0.05)
WAYPOINT #324: (-1.25, 0.05)
WAYPOINT #325: (-1.25, 0.05)
WAYPOINT #326: (-1.25, 0.05)
WAYPOINT #327: (-1.25, 0.05)
WAYPOINT #328: (-1.25, 0.05)
WAYPOINT #329: (-1.25, 0.05)
WAYPOINT #330: (-1.25, 0.05)
WAYPOINT #331: (-1.25, 0.05)
WAYPOINT #332: (-1.25, 0.05)
WAYPOINT #333: (-1.25, 0.05)
WAYPOINT #334: (-1.25, 0.05)
WAYPOINT #335: (-1.25, 0.05)
WAYPOINT #336: (-1.25, 0.05)
WAYPOINT #337: (-1.25, 0.05)
WAYPOINT #338: (-1.25, 0.05)
WAYPOINT #339: (-1.25, 0.05)
WAYPOINT #340: (-1.25, 0.05)
WAYPOINT #341: (-1.25, 0.05)
WAYPOINT #342: (-1.25, 0.05)
WAYPOINT #343: (-1.25, 0.05)
WAYPOINT #344: (-1.25, 0.05)
WAYPOINT #345: (-1.25, 0.05)
WAYPOINT #346: (-1.25, 0.05)
WAYPOINT #347: (-1.25, 0.05)
WAYPOINT #348: (-1.25, 0.05)
WAYPOINT #349: (-1.25, 0.05)
WAYPOINT #350: (-1.25, 0.05)
WAYPOINT #351: (-1.25, 0.05)
WAYPOINT #352: (-1.25, 0.05)
WAYPOINT #353: (-1.25, 0.05)
WAYPOINT #354: (-1.25, 0.05)
WAYPOINT #355: (-1.25, 0.05)
WAYPOINT #356: (-1.25, 0.05)
WAYPOINT #357: (-1.25, 0.05)
WAYPOINT #358: (-1.25, 0.05)
WAYPOINT #359: (-1.25, 0.05)
WAYPOINT #360: (-1.25, 0.05)
WAYPOINT #361: (-1.25, 0.05)
WAYPOINT #362: (-1.25, 0.05)
WAYPOINT #363: (-1.25, 0.05)
WAYPOINT #364: (-1.25, 0.05)
WAYPOINT #365: (-1.25, 0.05)
WAYPOINT #366: (-1.25, 0.05)
WAYPOINT #367: (-1.25, 0.05)
WAYPOINT #368: (-1.25, 0.05)
WAYPOINT #369: (-1.25, 0.05)
WAYPOINT #370: (-1.25, 0.05)
WAYPOINT #371: (-1.25, 0.05)
WAYPOINT #372: (-1.25, 0.05)
WAYPOINT #373: (-1.25, 0.05)
t=120s scan=2.44Hz cam_raw=0.00Hz cam_comp=2.22Hz odom=200Hz waypoints=373 pose=(-1.0425001382827759, -0.22367778420448303)
WAYPOINT #374: (-1.25, 0.05)
WAYPOINT #375: (-1.25, 0.05)
WAYPOINT #376: (-1.25, 0.05)
WAYPOINT #377: (-1.25, 0.05)
WAYPOINT #378: (-1.25, 0.05)
WAYPOINT #379: (-1.25, 0.05)
WAYPOINT #380: (-1.25, 0.05)
WAYPOINT #381: (-1.25, 0.05)
WAYPOINT #382: (-1.25, 0.05)
WAYPOINT #383: (-1.25, 0.05)
WAYPOINT #384: (-1.25, 0.05)
WAYPOINT #385: (-1.25, 0.05)
WAYPOINT #386: (-1.25, 0.05)
WAYPOINT #387: (-1.25, 0.05)
WAYPOINT #388: (-1.25, 0.05)
WAYPOINT #389: (-1.25, 0.05)
WAYPOINT #390: (-1.25, 0.05)
WAYPOINT #391: (-1.25, 0.05)
WAYPOINT #392: (-1.25, 0.05)
WAYPOINT #393: (-1.25, 0.05)
WAYPOINT #394: (-1.25, 0.05)
WAYPOINT #395: (-1.25, 0.05)
WAYPOINT #396: (-1.25, 0.05)
WAYPOINT #397: (-1.25, 0.05)
WAYPOINT #398: (-1.25, 0.05)
WAYPOINT #399: (-1.25, 0.05)
WAYPOINT #400: (-1.25, 0.05)
