2026/07/22 02:07:42.657, P0, 1875 MHz, 45.63 W, 3613 MiB, 99 %
2026/07/22 02:07:47.687, P0, 2295 MHz, 47.22 W, 3613 MiB, 96 %
2026/07/22 02:07:52.723, P0, 2325 MHz, 46.93 W, 3613 MiB, 4 %
2026/07/22 02:07:57.754, P0, 1905 MHz, 41.48 W, 3613 MiB, 97 %
2026/07/22 02:08:02.791, P0, 2475 MHz, 48.34 W, 3613 MiB, 0 %
2026/07/22 02:08:07.823, P0, 2475 MHz, 41.12 W, 3613 MiB, 0 %
2026/07/22 02:08:12.851, P0, 1725 MHz, 45.36 W, 3613 MiB, 98 %
2026/07/22 02:08:17.887, P0, 1845 MHz, 51.25 W, 3613 MiB, 98 %
2026/07/22 02:08:22.917, P0, 2475 MHz, 46.32 W, 3613 MiB, 19 %
2026/07/22 02:08:27.951, P0, 2475 MHz, 42.58 W, 3613 MiB, 5 %
2026/07/22 02:08:32.986, P0, 2475 MHz, 39.85 W, 3613 MiB, 0 %
2026/07/22 02:08:38.019, P0, 2475 MHz, 44.96 W, 3613 MiB, 0 %
2026/07/22 02:08:43.054, P0, 1905 MHz, 44.91 W, 3613 MiB, 94 %
2026/07/22 02:08:48.093, P0, 1860 MHz, 46.72 W, 3613 MiB, 96 %
2026/07/22 02:08:53.124, P0, 1845 MHz, 44.12 W, 3613 MiB, 97 %
2026/07/22 02:08:58.159, P0, 1695 MHz, 52.90 W, 3613 MiB, 100 %
2026/07/22 02:09:03.196, P0, 2475 MHz, 46.57 W, 3613 MiB, 0 %
2026/07/22 02:09:08.236, P0, 2340 MHz, 41.84 W, 3613 MiB, 60 %
2026/07/22 02:09:13.476, P8, 210 MHz, 10.70 W, 3613 MiB, 96 %
2026/07/22 02:09:18.944, P8, 210 MHz, 10.57 W, 3613 MiB, 100 %
2026/07/22 02:09:24.412, P8, 210 MHz, 10.05 W, 3613 MiB, 100 %
2026/07/22 02:09:29.819, P8, 210 MHz, 6.01 W, 3613 MiB, 0 %
2026/07/22 02:09:34.970, P8, 210 MHz, 9.61 W, 3613 MiB, 100 %
2026/07/22 02:09:40.332, P8, 210 MHz, 7.76 W, 3613 MiB, 47 %
 Idle : Not Active; SW Power Cap : Active; SW Power Capping : 1118838090 us;
2026/07/22 02:09:45.652, P8, 210 MHz, 9.29 W, 3613 MiB, 100 %
2026/07/22 02:09:50.985, P8, 210 MHz, 7.74 W, 3613 MiB, 96 %
2026/07/22 02:09:56.155, P8, 210 MHz, 9.06 W, 3613 MiB, 100 %
2026/07/22 02:10:01.450, P8, 210 MHz, 8.68 W, 3613 MiB, 96 %
2026/07/22 02:10:06.608, P8, 210 MHz, 8.97 W, 3613 MiB, 100 %
2026/07/22 02:10:11.969, P8, 210 MHz, 8.84 W, 3613 MiB, 99 %
2026/07/22 02:10:17.218, P8, 210 MHz, 8.99 W, 3613 MiB, 100 %
2026/07/22 02:10:22.570, P8, 210 MHz, 8.68 W, 3613 MiB, 98 %
2026/07/22 02:10:27.823, P8, 210 MHz, 8.89 W, 3613 MiB, 100 %
2026/07/22 02:10:33.160, P8, 210 MHz, 8.53 W, 3613 MiB, 100 %
2026/07/22 02:10:38.542, P8, 210 MHz, 8.74 W, 3613 MiB, 100 %
2026/07/22 02:10:43.894, P8, 210 MHz, 8.54 W, 3613 MiB, 97 %
2026/07/22 02:10:49.258, P8, 210 MHz, 8.74 W, 3613 MiB, 100 %
2026/07/22 02:10:54.557, P8, 210 MHz, 8.54 W, 3613 MiB, 100 %
2026/07/22 02:10:59.925, P8, 210 MHz, 5.85 W, 3613 MiB, 100 %
2026/07/22 02:11:05.363, P8, 210 MHz, 8.37 W, 3613 MiB, 100 %
2026/07/22 02:11:10.762, P8, 210 MHz, 8.32 W, 3613 MiB, 100 %
2026/07/22 02:11:16.156, P8, 210 MHz, 8.49 W, 3613 MiB, 100 %
2026/07/22 02:11:21.529, P8, 210 MHz, 8.22 W, 3613 MiB, 100 %
2026/07/22 02:11:26.910, P8, 210 MHz, 8.44 W, 3613 MiB, 100 %
2026/07/22 02:11:32.203, P8, 210 MHz, 8.56 W, 3613 MiB, 100 %
